OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
1/1/2022,0:00:00,17411.82,9751,5932.52,10795.38,43890.72,N
1/1/2022,1:00,11348.68,10451.08,5159.25,11186.78,38145.79,N
1/1/2022,2:00,10926.14,10189.26,5091.78,10950.95,37158.13,N
1/1/2022,3:00,10509.34,9750.31,5085.23,10621.37,35966.24,N
1/1/2022,4:00,10226.06,9368.65,5084.35,10469.91,35148.96,N
1/1/2022,5:00,10134.37,9136.48,5067.09,10272.39,34610.33,N
1/1/2022,6:00,10112.32,9051,5032.11,10255.29,34450.73,N
1/1/2022,7:00,10157.39,9090.75,5030.49,10289.99,34568.62,N
1/1/2022,8:00,10207.28,9042.1,5068.46,10314.66,34632.49,N
1/1/2022,9:00,10609.95,9206.56,5122.82,10623.18,35562.5,N
1/1/2022,10:00,11759.23,9795.13,5182.74,11109.79,37846.9,N
1/1/2022,11:00,12482.28,10463.74,5257.83,11732.05,39935.9,N
1/1/2022,12:00,13004.32,11127.69,5310.11,12348.74,41790.85,N
1/1/2022,13:00,13256.9,11652.12,5328.23,12893,43130.24,N
1/1/2022,14:00,13396.98,11934.65,5337.92,13321.96,43991.51,N
1/1/2022,15:00,13115.25,12201.68,5351.16,13579.7,44247.79,N
1/1/2022,16:00,12934.48,12347.97,5384.98,13541.52,44208.94,N
1/1/2022,17:00,13324.68,12336.68,5454.19,13217.55,44333.1,N
1/1/2022,18:00,14295.03,12150.43,5565.62,12932.96,44944.03,N
1/1/2022,19:00,15333.12,12135.73,5759.31,12874.47,46102.62,N
1/1/2022,20:00,15900.68,11690.65,5848.27,12511.37,45950.97,N
1/1/2022,21:00,16512.93,11195.47,5910.58,12141.74,45760.72,N
1/1/2022,22:00,17014.66,10739.99,5966.99,11806.95,45528.6,N
1/1/2022,23:00,17230.3,10289.4,5969.28,11338.83,44827.8,N
1/2/2022,0:00:00,18961.59,12804.73,5826.94,11884.54,49477.8,N
1/2/2022,1:00,17596.42,9360.48,5889.63,10057.74,42904.28,N
1/2/2022,2:00,17846.35,9148.08,5848.28,9335.91,42178.62,N
1/2/2022,3:00,18205.07,9176.67,5857.54,8821.53,42060.82,N
1/2/2022,4:00,18643.02,9301.31,5880.11,8666.82,42491.26,N
1/2/2022,5:00,19286.63,9621.4,5882.03,8643.76,43433.82,N
1/2/2022,6:00,20003.86,10054.31,5890.35,8879.53,44828.06,N
1/2/2022,7:00,20844.96,10778.93,5914.41,9252.53,46790.83,N
1/2/2022,8:00,21760.84,11720.34,5955.34,9804.09,49240.61,N
1/2/2022,9:00,22459.85,12459.61,5950.21,10448.22,51317.88,N
1/2/2022,10:00,22711.69,12827.2,5880.26,11017.6,52436.75,N
1/2/2022,11:00,22271.21,12934.65,5772.47,11343.11,52321.44,N
1/2/2022,12:00,21430.09,12835.61,5651.18,11534.38,51451.26,N
1/2/2022,13:00,20482.07,12551.89,5541.01,11715.23,50290.21,N
1/2/2022,14:00,19371.01,11956.14,5460.59,11778.48,48566.22,N
1/2/2022,15:00,18348.52,11627.38,5376.07,11700.38,47052.34,N
1/2/2022,16:00,17715.51,11448.14,5312.15,11667.89,46143.69,N
1/2/2022,17:00,17618.19,11526.94,5301.83,11755.19,46202.15,N
1/2/2022,18:00,18695.92,12198.55,5467.92,12261.29,48623.68,N
1/2/2022,19:00,19886.81,13144.13,5777.53,12823.61,51632.07,N
1/2/2022,20:00,20210.55,13418.59,5886.22,12859.69,52375.04,N
1/2/2022,21:00,20193.14,13470.7,5916.65,12746.8,52327.29,N
1/2/2022,22:00,20071.92,13472.11,5926.1,12562.44,52032.57,N
1/2/2022,23:00,19503.36,13149.61,5872.65,12217.22,50742.84,N
1/3/2022,0:00:00,16290.95,11863.44,5745.63,11656.14,45556.16,N
1/3/2022,1:00,18632.15,12507.99,5770.44,11616.19,48526.77,N
1/3/2022,2:00,18579.76,12435.56,5750.64,11502.99,48268.95,N
1/3/2022,3:00,18728.55,12543.15,5766.36,11335.2,48373.26,N
1/3/2022,4:00,19028.29,12769.2,5792.44,11449.68,49039.62,N
1/3/2022,5:00,19610.33,13180.97,5867.39,11655.32,50314.02,N
1/3/2022,6:00,20559.55,13894.1,5968.66,12127.94,52550.24,N
1/3/2022,7:00,21746.9,14893.53,6123.07,12797.66,55561.16,N
1/3/2022,8:00,22497.9,15619.38,6226.75,13255.75,57599.77,N
1/3/2022,9:00,22190.56,15383.19,6166.71,13332.35,57072.8,N
1/3/2022,10:00,20846.96,14433.49,5958.44,13151.83,54390.73,N
1/3/2022,11:00,19513.45,13373.87,5769,12908.47,51564.8,N
1/3/2022,12:00,18100.75,12469.95,5601.89,12593.04,48765.63,N
1/3/2022,13:00,17014.24,11709.48,5432.81,12219.9,46376.43,N
1/3/2022,14:00,16095.71,11112.97,5342.02,11906.89,44457.58,N
1/3/2022,15:00,15406.13,10704.22,5292.27,11609.18,43011.81,N
1/3/2022,16:00,15127.11,10511.58,5263.2,11462.66,42364.55,N
1/3/2022,17:00,15194.8,10635.22,5274.74,11454.66,42559.42,N
1/3/2022,18:00,16165.93,11290.57,5443.23,11927.45,44827.19,N
1/3/2022,19:00,17427.3,12316.17,5733.61,12575.53,48052.61,N
1/3/2022,20:00,17783.79,12704.66,5865.98,12675.24,49029.67,N
1/3/2022,21:00,17886.1,12891.47,5913.55,12666.98,49358.1,N
1/3/2022,22:00,17605.6,12781.3,5906.14,12470.37,48763.41,N
1/3/2022,23:00,16941.74,12356.52,5818.05,12112.13,47228.45,N
1/4/2022,0:00:00,13732.61,9850.67,5489.18,10052.67,39125.12,N
1/4/2022,1:00,15955.41,11458.69,5708.64,11310.63,44433.38,N
1/4/2022,2:00,15885.24,11236,5716.67,11114.85,43952.76,N
1/4/2022,3:00,15991.47,11201.09,5756.25,10993.48,43942.29,N
1/4/2022,4:00,16327.4,11230.67,5789.08,11098.23,44445.38,N
1/4/2022,5:00,17018.63,11591.79,5862.49,11233.41,45706.32,N
