DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
1/1/2022,0:00,HB_HOUSTON,25.18,N
1/1/2022,1:00,HB_HOUSTON,33.2,N
1/1/2022,2:00,HB_HOUSTON,25.65,N
1/1/2022,3:00,HB_HOUSTON,23.01,N
1/1/2022,4:00,HB_HOUSTON,18.56,N
1/1/2022,5:00,HB_HOUSTON,12.74,N
1/1/2022,6:00,HB_HOUSTON,15.62,N
1/1/2022,7:00,HB_HOUSTON,17.11,N
1/1/2022,8:00,HB_HOUSTON,18.78,N
1/1/2022,9:00,HB_HOUSTON,19.87,N
1/1/2022,10:00,HB_HOUSTON,21.38,N
1/1/2022,11:00,HB_HOUSTON,24.05,N
1/1/2022,12:00,HB_HOUSTON,27.21,N
1/1/2022,13:00,HB_HOUSTON,28.3,N
1/1/2022,14:00,HB_HOUSTON,29.71,N
1/1/2022,15:00,HB_HOUSTON,29.94,N
1/1/2022,16:00,HB_HOUSTON,28.37,N
1/1/2022,17:00,HB_HOUSTON,33,N
1/1/2022,18:00,HB_HOUSTON,43.67,N
1/1/2022,19:00,HB_HOUSTON,30.21,N
1/1/2022,20:00,HB_HOUSTON,27.31,N
1/1/2022,21:00,HB_HOUSTON,24.8,N
1/1/2022,22:00,HB_HOUSTON,25.04,N
1/1/2022,23:00,HB_HOUSTON,25.65,N
1/2/2022,0:00,HB_HOUSTON,36.78,N
1/2/2022,1:00,HB_HOUSTON,27.1,N
1/2/2022,2:00,HB_HOUSTON,25.22,N
1/2/2022,3:00,HB_HOUSTON,24.16,N
1/2/2022,4:00,HB_HOUSTON,22.67,N
1/2/2022,5:00,HB_HOUSTON,23.24,N
1/2/2022,6:00,HB_HOUSTON,25.33,N
1/2/2022,7:00,HB_HOUSTON,29.83,N
1/2/2022,8:00,HB_HOUSTON,37.26,N
1/2/2022,9:00,HB_HOUSTON,43.09,N
1/2/2022,10:00,HB_HOUSTON,36.6,N
1/2/2022,11:00,HB_HOUSTON,34.77,N
1/2/2022,12:00,HB_HOUSTON,32.75,N
