DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
1/1/2022,0,0.46,0,0,0,N
1/1/2022,1,0.12,0,0,0,N
1/1/2022,2,0.11,0,0,0,N
1/1/2022,3,0.11,0,0,0,N
1/1/2022,4,0.12,0,0,0,N
1/1/2022,5,0.13,0,0,0,N
1/1/2022,6,0.13,0,0,0,N
1/1/2022,7,0.12,0,0,0,N
1/1/2022,8,7.53,18.6,19,6.5,N
1/1/2022,9,1348.1,1012,959.6,604.8,N
1/1/2022,10,3459.73,4478.6,4943.1,3962.7,N
1/1/2022,11,3242.58,5947.7,6244.6,5294.4,N
1/1/2022,12,2690.9,5958.5,5658.3,4774.7,N
1/1/2022,13,3592.42,5910.5,5444.3,4628.5,N
1/1/2022,14,4742.98,5797.6,5121.8,4304.7,N
1/1/2022,15,5070.12,5586.5,5188.9,4109.5,N
1/1/2022,16,4630.33,4994.6,4794.2,3634.8,N
1/1/2022,17,2007.63,3051,3032.5,2079.2,N
1/1/2022,18,230.67,486.1,589.4,243.7,N
1/1/2022,19,0.46,0,0.3,0.3,N
1/1/2022,20,0.44,0,0,0,N
1/1/2022,21,0.47,0,0,0,N
1/1/2022,22,0.44,0,0,0,N
1/1/2022,23,0.45,0,0,0,N
1/2/2022,0,0.14,0,0,0,N
1/2/2022,1,0.43,0,0,0,N
1/2/2022,2,0.43,0,0,0,N
1/2/2022,3,0.43,0,0,0,N
1/2/2022,4,0.43,0,0,0,N
1/2/2022,5,0.43,0,0,0,N
1/2/2022,6,0.43,0,0,0,N
1/2/2022,7,0.43,0,0,0,N
1/2/2022,8,16.76,47.4,48.8,23.3,N
1/2/2022,9,1868.71,1474,1377.9,962.9,N
1/2/2022,10,5498.24,5778.2,6226.8,5152.8,N
1/2/2022,11,6236.25,7197.6,7213.7,6315.8,N
1/2/2022,12,6051.72,7104,6475,5764.9,N
1/2/2022,13,6222.36,6740.2,6197.6,5578.6,N
1/2/2022,14,6476.63,6574.1,6316.2,5677.3,N
1/2/2022,15,6796.24,6658.5,6909.9,6208,N
1/2/2022,16,6830.71,6767,6880,6121.7,N
1/2/2022,17,5163.54,4359.3,4359.3,3502.8,N
1/2/2022,18,950.92,680,856.9,466.8,N
1/2/2022,19,0.28,0,0.8,0.7,N
1/2/2022,20,0.14,0,0,0,N
1/2/2022,21,0.14,0,0,0,N
1/2/2022,22,0.14,0,0,0,N
1/2/2022,23,0.14,0,0,0,N
