DELIVERY_DATE,HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,ACTUAL_LZ_SOUTH_HOUSTON,COP_HSL_LZ_SOUTH_HOUSTON,STWPF_LZ_SOUTH_HOUSTON,WGRPP_LZ_SOUTH_HOUSTON,ACTUAL_LZ_WEST,COP_HSL_LZ_WEST,STWPF_LZ_WEST,WGRPP_LZ_WEST,ACTUAL_LZ_NORTH,COP_HSL_LZ_NORTH,STWPF_LZ_NORTH,WGRPP_LZ_NORTH,DSTFlag
1/1/2022,0,21548.49,22273.6,22171.5,17533.2,3794.74,3697.8,3985.3,2964,15813.79,16600.4,16248.4,13111.4,1939.96,1975.4,1937.8,1457.8,N
1/1/2022,1,12067.4,14068.2,12834.3,9698.9,5423.6,6387.9,6295.3,4870.7,6000.14,7105.5,5874,4392.2,643.66,574.8,665,436,N
1/1/2022,2,12886.02,14234.3,13748.3,10418.5,5430.73,6365.3,6299.6,4872.4,6898.77,7294.4,6907.5,5289.8,556.52,574.6,541.2,256.3,N
1/1/2022,3,14369.45,15124.5,15372.5,11685.7,5368.58,6429.1,6483.5,5029.1,8432.08,8126.2,8321.4,6422.6,568.79,569.2,567.6,234,N
1/1/2022,4,16467.65,16765.8,17285.7,12873,5401.81,6530,6512.7,4976,10506.96,9688.9,10201.2,7660.4,558.88,546.9,571.8,236.6,N
1/1/2022,5,18337.78,18726.4,19558.4,14803,5724.62,6520.7,6644.2,5071.6,12062.62,11624.8,12365.7,9471.5,550.54,580.9,548.5,259.9,N
1/1/2022,6,18163.1,19784.1,19206.1,14204.5,5560.31,6285.7,6577.5,5034.8,11971.97,12859,12003.8,8860.2,630.82,639.4,624.8,309.5,N
1/1/2022,7,18538.3,20826.4,19458.7,14461.2,5270.18,6157.3,5917.8,4301.7,12464.16,13990.6,12781.2,9796.5,803.96,678.5,759.7,363,N
1/1/2022,8,18306.68,20514.5,18950.2,13964.8,5072.28,5777.1,5596.3,4063.1,12301.15,13894.6,12397.3,9365.3,933.25,842.8,956.6,536.4,N
1/1/2022,9,17297.79,20408,18160.3,13406.4,4193.47,5091,4855,3486.1,12250.93,14369.5,12469.7,9461.9,853.39,947.5,835.6,458.4,N
1/1/2022,10,16917.56,19298.3,18327,13666.9,3594.1,4700.1,4341.5,3021.2,12542.39,13654.8,13096.3,10116.5,781.07,943.4,889.2,529.2,N
1/1/2022,11,17691.95,19038,19356.3,14604.6,3581.34,3907,4194.3,3038.5,13270.04,14091.2,14218.3,10851,840.57,1039.8,943.7,715.1,N
1/1/2022,12,17781.26,19847.4,19574.6,15052.5,3057.91,3387.1,3396.1,2386.6,13571.74,15063.7,14910.1,11653.9,1151.61,1396.6,1268.4,1012,N
1/1/2022,13,16336.38,19755.2,17971.2,13900.1,1991.57,3133.9,2158,1432,12720.47,15071.1,14038.2,11058.3,1624.34,1550.2,1775,1409.8,N
1/1/2022,14,14857.09,18308.2,15855,11974.5,1457.01,2432.3,1474,914.5,11721.89,14346.6,12567.3,9637.6,1678.19,1529.3,1813.7,1422.4,N
1/1/2022,15,14036.9,16212.7,14684.8,10897.4,1232.38,1287.2,1188.6,635.4,11373.93,13211.3,11929,9039.3,1430.59,1714.2,1567.2,1222.7,N
1/1/2022,16,14346.6,16172.2,14760.9,11189.8,1113.19,1227.3,1092.4,627.5,11844.42,13392.2,12184.7,9397.8,1388.99,1552.7,1483.8,1164.5,N
1/1/2022,17,16895.31,16141.9,17190.3,13578.7,1161.85,972.1,1186.2,828.4,14221.15,13813,14593.4,11681.5,1512.31,1356.8,1410.7,1068.8,N
1/1/2022,18,18796.29,16848.7,19588.2,15638.5,1208.46,1279.1,1188.3,831.7,15626.33,14101,16469.1,13434.4,1961.5,1468.6,1930.8,1372.4,N
1/1/2022,19,19858.79,19735,21790.5,17036,1779.15,1758.9,1796.7,1091,16184.37,16363.8,17924,14493.1,1895.27,1612.3,2069.8,1451.9,N
1/1/2022,20,20443.55,22340.5,22586.6,17791,2284.15,2473.4,2352,1473.5,16268.87,17802.8,18171.4,14816.1,1890.53,2064.3,2063.2,1501.4,N
1/1/2022,21,20859.8,23245.4,23201,18311.2,2759.6,3172.7,2757.7,1740.5,16206.9,18024.1,18376.6,15067.8,1893.3,2048.6,2066.7,1502.9,N
1/1/2022,22,21379.75,23225.5,23562.7,18650.4,3332.71,3452.7,3420,2327.1,16170.38,17777.6,18093.6,14813.8,1876.66,1995.2,2049.1,1509.5,N
1/1/2022,23,21761.21,22704.2,23271.3,18345.5,3818.03,3540.6,3824.8,2755.5,16109.49,17159.4,17426.4,14085.8,1833.69,2004.2,2020.1,1504.2,N
